indx_members,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act
A UN,46315,1053,0,2769,6848,3722,1935,1254,1312,-291,1021,1618,3778,10516,1861,5227,5289,-338,-1408,6848,1021,1053,3126,5230,1877,114,317,2193,84,9,39,1833,250,1254,-338,-1372
AAL UW,9030.373122,11232,0,44682,45210,#VALUE!,1590,-1607,1131,-2043,-912,-556,17377,66652,21970,74545,-7893,822,-1908,#VALUE!,-912,332,#VALUE!,45766,-365,1460,2146,1701,1898,112,-326,-1790,-409,-1607,822,-1908
AAP UN,8857.83833,191.204,0,4086.856,11077.952,4944.207,1536.248,476.845,670.42,-432.295,238.125,694.612,6162.519,12132.079,5442.901,9416.004,2716.075,-430.251,-653.61,11077.952,238.125,191.204,6133.745,#VALUE!,1051.319,73.334,280.42,1541.5,44.819,0,28.515,732.445,144.433,476.845,-430.251,-641.212
AAPL UW,2385581.482,169109,0,132480,394328,170782,132441,99803,122151,-10708,111443,119437,135405,352755,153982,302083,50672,-22354,-110749,394328,111443,23646,223546,51345,119437,334,11104,144214,2931,2825,228,119103,19300,99803,-22354,-110749
ABBV UN,282231.7978,11879,33,69606,57819,40255,25978,13367,22590,-669,21921,17689,30364,141325,32712,125298,16027,-1320,-21620,57819,21921,11832,17564,40130,29484,2906,8289,37628,2244,105,643,27622,1365,13411,-1320,-21507
ABC UN,33897.39002,3388.189,0,5702.833,238587.006,8296.367,2378.611,1698.82,2703.088,-496.318,2206.77,2366.378,39589.758,56560.616,43477.955,51027.585,5533.031,-368.437,-1811.24,238587.006,2206.77,3388.189,230290.639,5929.989,3200,183.321,12.233,3893.895,#VALUE!,#VALUE!,-27.352,2945.423,516.517,1698.82,-368.437,-1753.39
ABMD UW,17016.05989,937.243,0,13.302,1074.096,873.506,287.873,266.764,250.983,-33.761,217.222,253.613,1062.798,1696.544,134.06,156.757,1539.787,-162.914,-147.616,1074.096,217.222,182.335,200.59,820.483,254.109,-87.551,27.56,#VALUE!,#VALUE!,#VALUE!,-86.66,341.66,74.4,266.764,-162.914,-135.534
ABT UN,182813.7079,10067,209,16414,45030,25715,12779,7889,10322,-1781,8541,9436,24845,72801,13365,36917,35884,-1779,-8251,45030,8541,9594,19315,35594,10660,123,3343,11536,535,106,-316,11178,1424,7889,-1779,-8065
ACGL UW,21411.94931,813.583,838.908,2725.153,8855.909,#VALUE!,#VALUE!,1199.774,3633.721,-45.37,3588.351,1349.266,#VALUE!,46337.104,#VALUE!,34533.086,11804.018,-2793.169,-1131.137,9000.788,3588.351,813.583,#VALUE!,7637.457,#VALUE!,#VALUE!,113.61,#VALUE!,130.814,#VALUE!,0,1525.034,53.448,1436.157,-2793.169,-1051.547
ACN UN,185008.1803,7893.806,640.991,3325.756,61594.305,19701.539,12208.399,6877.169,9541.129,-717.998,8823.131,9367.181,21610.871,47263.39,17523.496,24516.302,22747.088,-4260.629,-5558.841,61594.305,8400,7889.833,41892.766,52227.124,9367.181,171.014,2088.216,11455.397,47.32,45.133,168.827,9196.167,2207.207,6877.169,-4260.629,-5311.026
ADBE UW,153356.5607,5764,0,4641,17191,15087,6940,4813,7579,-450,7129,6094,8489,26744,7438,12371,14373,-2240,-6092,17191,7129,3870,2104,8993,7779,135,846,8625,112,#VALUE!,23,7218,1146,4813,-2240,-5992
