,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act,ebit,pretax_inc,is_comp_net_income_adjust,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
cur_mkt_cap,1.0,0.248485069981941,0.04949740088662756,0.2223561707801349,0.622772320309731,0.8370716692992838,0.8839832120703237,0.8903551299521686,0.8359489156199773,-0.5726088337536699,0.7427376776296039,0.8949045561679222,0.7085594587129854,0.22800567538102706,0.6120690691702698,0.17400393997569827,0.5653813961571147,-0.2736318677088251,-0.5686548632225414,0.6064773359252195,0.5858994387372289,0.21963282361784967,0.445550662108454,0.46767154681413337,0.9137721229272712,-0.009517907156187663,0.5773057043077158,0.9200918846019027,0.31201290948340793,0.10623551132131985,0.03779318774806095,0.515675727313145,0.7723416044609849,0.9007213298957957,-0.27322437089666607,-0.5486457011005585,0.8886011629304783,0.8733464994042839,0.8846141284715675,0.08719488077701372,0.08459617795997756,0.36877553174482103
cash_and_marketable_securities,0.248485069981941,1.0,0.294843882365256,0.9220832024052438,0.2151292948418229,0.7992883260381992,0.4059030798639817,0.3678791633150288,0.525954914991796,-0.11022541147131007,0.5857911308178455,0.3844386204911692,0.7709861969382779,0.9123042891490055,0.6389314685589645,0.912006374546227,0.6460014368217717,-0.8585691777486614,0.10023200947480292,0.1945673632161171,0.515881287379856,0.5672434040826239,0.4606829426176571,0.17703736079343899,0.8855651458290882,-0.00969937369414777,0.2020859677348637,0.8864569329981261,0.2827574145879304,0.8346332370004542,0.010002652953216626,0.22184397483057025,0.3499606080412406,0.3840714189017373,-0.854805153799825,0.20694662478948295,0.428034195579252,0.3781076293918774,0.36137972954231395,0.8330716671541962,0.001146325662835894,0.8983324732990575
preferred_equity_and_minority_int,0.04949740088662756,0.294843882365256,1.0,0.23237517220559809,-0.009665770722698837,0.02646235072622318,0.029952953934811295,0.07495555002953949,0.12590362844639377,0.02434869372619361,0.16472396408439455,0.10261735128215455,-0.21339462529961697,0.33105245354101653,-0.20223209089601074,0.332439150704822,0.22329474495786988,-0.2955381009461904,0.03304011489263638,-0.009227892239452395,0.1206620810389117,0.09109904465076224,-0.07350404486806544,-0.1441432436633179,-0.008672399784040802,0.057107223110325914,-0.018575117646310455,0.024635430347490838,0.02132144753421349,0.3547003393811179,0.15617801025519415,0.05440614390816307,0.14337327489563592,0.0702850053072559,-0.30222992611761135,0.06507728911447559,0.049320792874347465,0.09441302903680804,0.0846157440769301,0.4463860831719777,0.1594283032158996,0.24886074162237606
short_and_long_term_debt,0.2223561707801349,0.9220832024052438,0.23237517220559809,1.0,0.27597995987058366,0.6578522011237807,0.39742613909853863,0.3356849880430635,0.49302109135418565,-0.21693361523541066,0.4953951906714094,0.3616180318918669,0.5197631908755092,0.9044935884687347,0.6297753133996042,0.9010601164532824,0.6640118886915761,-0.8577196705043356,0.19094267977426127,0.25923357040101996,0.41586258913955526,0.6043276124521927,0.4470909748887099,0.2606028175212231,0.5318257813168807,0.19658289712086666,0.334004422069648,0.6361937297220045,0.8729828174872942,0.8227640105162727,-0.04480752140181271,0.20290449164117447,0.32070195095059345,0.3492214191148981,-0.8504956002841672,0.27703273586925203,0.3673336569430041,0.3473270086455565,0.3589283014503885,0.8016888650242704,0.11939865136624139,0.9606556737657741
sales_rev_turn,0.622772320309731,0.2151292948418229,-0.009665770722698837,0.27597995987058366,1.0,0.8245648484608747,0.7104344308719235,0.6208193653874682,0.6761216884915665,-0.6152072027341131,0.5284948764170492,0.643126184247919,0.7132683333676881,0.2698114495500405,0.7387069698064985,0.21885315137699,0.5734491436379489,-0.27908200356875207,-0.3832922097704009,0.9983116125442628,0.35809985350493667,0.24437175661209146,0.9633250356845503,0.8651651723167093,0.6310962107191165,-0.02166948330988122,0.7004609541177529,0.7193675310954357,0.41829557603405376,0.11349349615358874,0.03836044024267085,0.3440099456593262,0.6205966470816562,0.592732561823412,-0.2742064818086257,-0.3636996784614773,0.6349958478044598,0.629745725482998,0.629981938191259,0.09269897937645048,0.3242710638979658,0.4100651516148934
gross_profit,0.8370716692992838,0.7992883260381992,0.02646235072622318,0.6578522011237807,0.8245648484608747,1.0,0.8964281156252736,0.7912896653283489,0.8738488441237728,-0.8148638717532416,0.6739459607680351,0.818714807610969,0.8420217351346169,0.8551117238368894,0.8182053766111379,0.7714324079890932,0.7907340841327318,-0.7736450409900998,-0.7204886520271133,0.8093234612830303,0.40887476147661556,0.7347612879402743,0.6425074839729001,0.7605263585431256,0.8407781844098767,0.08915201834600626,0.8202827255050538,0.9191862368570313,0.49840052650274713,0.7238902696495776,0.055369354472343646,0.8067328260587782,0.7025229070587868,0.7931179984048039,-0.774288162666587,-0.7139670494845418,0.818714807610969,0.7837767072784082,0.7969206542509332,0.008525884675126189,0.25074632531403196,0.8376836500670676
ebitda,0.8839832120703237,0.4059030798639817,0.029952953934811295,0.39742613909853863,0.7104344308719235,0.8964281156252736,1.0,0.958673762730885,0.9771553004485203,-0.6980474585834093,0.8678144723853879,0.9693866570738299,0.7389677890571272,0.49065824415466125,0.6348995494279249,0.37774374421604023,0.8103038439472161,-0.5103279799811762,-0.5347748046693993,0.694077697528672,0.6909251833710658,0.3283529728663116,0.540474742641171,0.5820521729705396,0.9699064772075876,-0.1215532202657131,0.772404000387265,0.9935966838624517,0.4496224045126387,0.23163820611373656,-0.05941868456724647,0.9590958833874287,0.9025787794324843,0.9558159999179746,-0.5015630770540538,-0.5225357869535329,0.9721394445286577,0.960603611137063,0.9572114151725993,0.1705184911056583,0.22263961491569112,0.6216841671779515
earn_for_common,0.8903551299521686,0.3678791633150288,0.07495555002953949,0.3356849880430635,0.6208193653874682,0.7912896653283489,0.958673762730885,1.0,0.924989063591619,-0.5283949491929475,0.871800195488206,0.9900227434811856,0.6919784155570123,0.3698691621418706,0.5543026397232395,0.31048719653051426,0.7061425044775009,-0.40003227071252123,-0.5689662371587967,0.6024074828310784,0.7690251610701283,0.26170724494798897,0.4613224595360345,0.42292518053314115,0.975882513762778,-0.23697315589224052,0.6007572827424921,0.9437388487976234,0.29158430313079986,0.2665163615622294,-0.11370161274174354,0.5656663870662412,0.9263143348439612,0.9989902172640589,-0.39658437116446393,-0.5358785792762074,0.9840000630062559,0.9964371669071733,0.9810011540870226,0.22770738011450856,0.1518683438230013,0.5019852491314434
cf_cash_from_oper,0.8359489156199773,0.525954914991796,0.12590362844639377,0.49302109135418565,0.6761216884915665,0.8738488441237728,0.9771553004485203,0.924989063591619,1.0,-0.6056676043161647,0.926156350056762,0.9353273379961214,0.7418851305187469,0.49683368728685634,0.6288189592302533,0.43897860229577884,0.7847423198302929,-0.5687830720388166,-0.4597730615236966,0.6565979370364627,0.7865215508291412,0.3808166811634597,0.5399997968904039,0.5618901059984537,0.9690647628556006,-0.14009290921199308,0.7002858113214266,0.9822251248513921,0.4113006434846324,0.40784171748773057,-0.04683493121821049,0.5416718198841924,0.8852209640012416,0.9218203220938811,-0.5645414900824436,-0.4108983108097272,0.9588316194707783,0.9296096189823259,0.9245053980107062,0.3240573677722988,0.1750631943894564,0.6435160798518512
capital_expend,-0.5726088337536699,-0.11022541147131007,0.02434869372619361,-0.21693361523541066,-0.6152072027341131,-0.8148638717532416,-0.6980474585834093,-0.5283949491929475,-0.6056676043161647,1.0,-0.2607817041829775,-0.5269320553758157,-0.5895511512522457,-0.14979736563286178,-0.5370927081888508,-0.08652579851275054,-0.5802305237102388,0.26898575113683953,0.2694831774475182,-0.6026806244386403,-0.04200101612104701,-0.1718204294433257,-0.4606977594562617,-0.6701686859904777,-0.5360604671102646,0.020866605458171556,-0.86302233937297,-0.7181097251826911,-0.43673231393672346,-0.00960055813790455,0.08415298931807687,-0.283343035136414,-0.4415916703612436,-0.5137584107328026,0.265023391308257,0.2630667312338108,-0.5454507251362866,-0.5163025172237243,-0.48135250957880005,0.009100828823868064,-0.24255593134302245,-0.3703795203636722
