Name,Index Members,Current Market Cap,Cash and Marketable Securities,#N/A No results found,Short and Long Term Debt,Revenue,Gross Profit,EBITDA,Net Income Available to Common,Cash From Operations,Capital Expenditures,Free Cash Flow,Operating Income or Losses,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Total Equity,Cash from Investing Activities,Cash from Financing Activities,Estimate Comparable Sales,#N/A No results found,Cash and Cash Equivalents,Cost of Revenue,Total Operating Expenses,Comparable EBIT,#N/A No results found,Depreciation & Amortization,Comparable EBITDA,Interest Expense,Interest Income,Other Non-Operating (Income) Loss,Comparable PTP Excluding Stock Based Compensation,Income Tax Expense (Benefit),Estimate Comparable Net Income GAAP,#N/A No results found,#N/A No results found,EBIT,Pre-Tax Income,Estimate Comparable Net Income Adjusted,Preferred Equity and Hybrid Capital,Minority/Non Controlling Interest,Total Capital
name,indx_members,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act,ebit,pretax_inc,is_comp_net_income_adjust,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
Agilent Technologies Inc,A UN,46155.70198,1053,0,2769,6848,3722,1935,1254,1312,-291,1021,1618,3778,10516,1861,5227,5289,-338,-1408,6848,1021,1053,3126,5230,1877,114,317,2193,84,9,39,1833,250,1254,-338,-1372,1618,1504,1332,0,0,8058
American Airlines Group Inc,AAL UW,9072.616407,11232,0,44682,45210,#VALUE!,1590,-1607,1131,-2043,-912,-556,17377,66652,21970,74545,-7893,822,-1908,#VALUE!,-912,332,#VALUE!,45766,-365,1460,2146,1701,1898,112,-326,-1790,-409,-1607,822,-1908,-556,-2016,-1420,0,0,36789
Advance Auto Parts Inc,AAP UN,9032.636612,191.204,0,4086.856,11077.952,4944.207,1536.248,476.845,670.42,-432.295,238.125,694.612,6162.519,12132.079,5442.901,9416.004,2716.075,-430.251,-653.61,11077.952,238.125,191.204,6133.745,#VALUE!,1051.319,73.334,280.42,1541.5,44.819,0,28.515,732.445,144.433,476.845,-430.251,-641.212,694.612,621.278,749.932,0,0,6802.931
Apple Inc,AAPL UW,2344220.278,169109,0,132480,394328,170782,132441,99803,122151,-10708,111443,119437,135405,352755,153982,302083,50672,-22354,-110749,394328,111443,23646,223546,51345,119437,334,11104,144214,2931,2825,228,119103,19300,99803,-22354,-110749,119437,119103,99803,0,0,183152
AbbVie Inc,ABBV UN,288492.2339,11879,33,69606,57819,40255,25978,13367,22590,-669,21921,17689,30364,141325,32712,125298,16027,-1320,-21620,57819,21921,11832,17564,40130,29484,2906,8289,37628,2244,105,643,27622,1365,13411,-1320,-21507,17689,14783,24094,0,33,85633
AmerisourceBergen Corp,ABC UN,35711.45005,3388.189,282.832,6725.305,238587.006,8296.367,3297.148,1698.82,2703.088,-496.318,2206.77,2366.378,39589.758,56560.616,43477.955,56489.343,71.273,-368.437,-1811.24,238587.006,2206.77,3388.189,230290.639,5929.989,3200,183.321,709.835,3893.895,231.982,21.309,-27.352,2945.423,516.517,1698.82,-368.437,-1753.39,2366.378,2183.057,2329.355,0,282.832,6796.578
ABIOMED Inc,ABMD UW,17011.77617,937.243,0,13.302,1074.096,873.506,287.873,266.764,250.983,-33.761,217.222,253.613,1062.798,1696.544,134.06,156.757,1539.787,-162.914,-147.616,1074.096,217.222,182.335,200.59,820.483,254.109,-87.551,27.56,#VALUE!,#VALUE!,#VALUE!,-86.66,341.66,74.4,266.764,-162.914,-135.534,253.613,341.164,222.004,0,0,1553.089
Abbott Laboratories,ABT UN,188061.8687,10067,209,16414,45030,25715,12779,7889,10322,-1781,8541,9436,24845,72801,13365,36917,35884,-1779,-8251,45030,8541,9594,19315,35594,10660,123,3343,11536,535,106,-316,11178,1424,7889,-1779,-8065,9436,9313,10021,0,209,52298
Arch Capital Group Ltd,ACGL UW,22373.62002,813.583,838.908,2725.153,8855.909,#VALUE!,#VALUE!,1199.774,3633.721,-45.37,3588.351,1349.266,#VALUE!,46337.104,#VALUE!,34533.086,11804.018,-2793.169,-1131.137,9000.788,3588.351,813.583,#VALUE!,7637.457,#VALUE!,#VALUE!,113.61,#VALUE!,130.814,#VALUE!,0,1525.034,53.448,1436.157,-2793.169,-1051.547,1349.266,1218.452,1527.724,830,8.908,14529.171
