ticker,cur_mkt_cap,sales_rev_turn,is_comp_sales,is_cogs_to_fe_and_pp_and_g,gross_profit,is_tot_oper_exp,is_oper_inc,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,ebitda,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,earn_for_common,is_comp_net_income_gaap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,cf_cash_from_oper,capital_expend,cf_free_cash_flow,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,estimate_comparable_fcf,bs_cash_near_cash_item,cb_cf_net_cash_investing_act,cb_cf_net_cash_investing_act,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
A UN Equity,41291.73744,6659,6659,3049,3610,5117,1542,1828,45,328,1870,2162,82,5,-32,1755,169,1328,1394,1077,0,3073,1305,-283,1022,3690,10484,1902,5393,5091,-287,-1380,1022,1071,-287,-287,0,0,8164
AAL UW Equity,9290.333229,45210,,,,45766,-556,-365,1460,2146,1590,1701,1898,112,-326,-1790,-409,-1607,-1607,11232,0,44682,1131,-2043,-912,17377,66652,21970,74545,-7893,822,-1908,-912,332,822,822,0,0,36789
AAP UN Equity,10942.72212,11057.84,11057.84,6111.03,4946.81,,746.612,1067.093,50.331,273.313,1575.117,1336.281,41.367,0,8.964,852.053,160.605,535.676,535.676,240.551,0,4048.299,644.646,-371.278,273.368,6183.165,12137.963,5341.818,9343.154,2794.809,-369.98,-843.402,273.368,240.551,-369.98,-369.98,0,0,6843.108
AAPL UW Equity,2215682.656,394328,394328,223546,170782,51345,119437,119437,334,11104,132441,144214,2931,2825,228,119103,19300,99803,99803,169109,0,132480,122151,-10708,111443,135405,352755,153982,302083,50672,-22354,-110749,111443,23646,-22354,-22354,0,0,183152
ABBV UN Equity,263114.5278,57819,57819,17564,40255,40130,17689,29484,2906,8289,25978,37628,2244,105,643,27622,1365,13367,13411,11879,33,69606,22590,-669,21921,30364,141325,32712,125298,16027,-1320,-21620,21921,11832,-1320,-1320,0,33,85633
ABC UN Equity,32706.52986,238587.006,61174.149,230290.639,8296.367,5929.989,2366.378,741.474,183.321,12.233,2378.611,912.036,,,-27.352,382.34,516.517,1698.82,294.737,3388.189,0,5702.833,2703.088,-496.318,2206.77,39589.758,56560.616,43477.955,51027.585,5533.031,-368.437,-1811.24,2206.77,3388.189,-368.437,-368.437,0,,11235.864
ABMD UW Equity,16868.61221,1074.096,1074.096,200.59,873.506,820.483,253.613,254.109,-87.551,27.56,287.873,,,,-86.66,341.66,74.4,266.764,266.764,937.243,0,13.302,250.983,-33.761,217.222,1062.798,1696.544,134.06,156.757,1539.787,-162.914,-147.616,217.222,182.335,-162.914,-162.914,0,0,1553.089
ABT UN Equity,173886.6186,45030,45030,19315,25715,35594,9436,10660,123,3343,12779,11536,535,106,-316,11178,1424,7889,7889,10067,209,16414,10322,-1781,8541,24845,72801,13365,36917,35884,-1779,-8251,8541,9594,-1779,-1779,0,209,52298
ACGL UW Equity,21411.94931,8855.909,9000.788,,,7637.457,1349.266,,,113.61,,,130.814,,0,1525.034,53.448,1199.774,1436.157,813.583,838.908,2725.153,3633.721,-45.37,3588.351,,46337.104,,34533.086,11804.018,-2793.169,-1131.137,3588.351,813.583,-2793.169,-2793.169,830,8.908,14529.171
ACN UN Equity,169989.4459,61594.305,61594.305,41892.766,19701.539,52227.124,9367.181,9367.181,171.014,2088.216,12208.399,11455.397,47.32,45.133,168.827,9196.167,2207.207,6877.169,6877.169,7893.806,640.991,3325.756,9541.129,-717.998,8823.131,21610.871,47263.39,17523.496,24516.302,22747.088,-4260.629,-5558.841,8400,7889.833,-4260.629,-4260.629,0,640.991,26072.844
ADBE UW Equity,140046.4715,17191,17191,2104,15087,8993,6094,7779,135,846,6940,8625,112,,23,7218,1146,4813,4813,5764,0,4641,7579,-450,7129,8489,26744,7438,12371,14373,-2240,-6092,7129,3870,-2240,-2240,0,0,19014
ADI UW Equity,78236.49059,11105.805,11105.632,4594.326,6511.479,4236.25,2275.229,5289.088,380.659,2203.848,4479.077,6077.611,207.322,2.999,176.336,5113.062,6.548,1888.022,1888.022,1524.96,0,6252.839,4266.791,-525.573,3741.218,4689.708,50346.17,2441.201,13707.579,36638.591,1975.77,-6198.303,3741.218,1524.96,1975.77,1975.77,0,0,42891.43
ADM UN Equity,52802.00741,98707,98707,91249,7458,,4101,5199,-930,1031,5132,6553,339,104,-264,4974,893,4103,4103,1099,322,9742,4090,-1296,2794,34569,58304,22936,33985,24319,-2330,-1928,2794,1099,-2330,-2330,0,322,34061
ADP UW Equity,101541.5408,16881.6,16881.6,9632.9,7248.7,13061.8,3934.4,3974,21.1,521.1,4600,4877.1,114.6,60.9,-32.6,3913.1,886,3027.3,3027.3,1207.7,0,3592.5,3695.7,-183.9,3511.8,37968.8,46364.7,39166.2,43788.2,2576.5,-7355.6,-13956.4,3511.8,1207.7,-7355.6,-7355.6,0,0,6169
ADSK UW Equity,43059.56197,4744.4,4744.4,456.3,4288.1,3496.4,791.7,1627.6,70.2,151.7,1037.2,1756.3,,,64.4,1350.1,163.7,557.8,557.8,1571,0,3045,1684.2,-42.9,1641.3,2329,8227,3642,7487,740,-431.2,-736.1,1641.3,1440,-431.2,-431.2,0,0,3785
AEE UN Equity,21245.81572,7456,7456,2318,5138,6020,1436,1436,218,1399,2835,2691,449,24,-176,1218,177,1036,1037,7,129,14953,2101,-3884,-1783,2518,37657,3175,27327,10330,-3340,1308,-1783,7,-3340,-3340,0,129,25283
AEP UW Equity,45821.22323,18819.8,18786.9,6517.2,12302.6,15213.5,3606.3,3606.8,1001.5,3513.7,7120,6023.6,1305.3,,-172.8,2799.4,20.7,2461.8,2461.8,779.5,234.1,38384.1,5600.1,-6454.3,-854.2,9320,91249.4,11836.4,66663.8,24585.6,-7350.2,900.7,-854.2,577.3,-7350.2,-7350.2,0,234.1,62969.7
AES UN Equity,17700.66912,12327,12327,9783,2544,,2359,715,3167,1061,3420,1776,1055,356,2406,2844,-22,-275,-219,2224,4091,22205,2172,-3293,-1121,7628,37775,5902,31113,6662,-5148,3036,-1121,1553,-5148,-5148,2039,2052,28867
AFL UN Equity,42244.31628,20925,20925,,,15612,5540,,,,,,227,,0,4506,258,5055,5055,4710,0,7683,3716,0,3716,,128100,,103996,24152,-2054,-3160,3716,4710,-2054,-2054,0,0,31835
AIG UN Equity,43872.96902,58938,58938,,,39887,20159,9526,,4961,,,1108,,0,5428,3855,13722,8501,2294,2478,30432,4533,0,4533,,522932,,481931,41001,-2621,-2687,4533,2294,-2621,-2621,500,1978,71433
AIZ UN Equity,6487.699642,10115.1,10115.1,,,9704.1,518.5,,,185.8,,,107.5,,0,721.6,79.3,328.6,331.7,1429.8,0,2146.7,574.3,-190,384.3,,33245.7,,29164.2,4098.9,-14,-1158.4,384.3,1429.8,-159.2,-159.2,0,0,6245.6
AJG UN Equity,40512.90471,8495,8495,252.1,8242.9,7177,1572.4,,254.4,592.1,2164.5,,254.4,0,0,,216.6,1088.1,,553.7,55.3,6321.1,2487.9,-165.7,2322.2,23796.6,38667.8,22456.6,30038.7,8629.1,-3272.1,48.7,2322.2,553.7,-3272.1,-3272.1,0,55.3,14950.2
