"get(cur_mkt_cap(), cash_and_marketable_securities(), preferred_equity_and_minority_int(), short_and_long_term_debt(), sales_rev_turn(), gross_profit(), ebitda(), earn_for_common(), cf_cash_from_oper(), capital_expend(), cf_free_cash_flow(), is_oper_inc(), bs_cur_asset_report(), bs_tot_asset(), bs_cur_liab(), bs_tot_liab2(),	total_equity(), cf_cash_from_inv_act(), cf_cash_from_fnc_act(),is_comp_sales(), is_comp_sales(fa_period_offset=1), is_comp_sales(fa_period_offset=2), is_comp_sales(fa_period_offset=3), is_comp_sales(fa_period_offset=4), 
is_comp_sales(fa_period_offset=5), 
headline_fcf(),bs_cash_near_cash_item(), is_cogs_to_fe_and_pp_and_g(), is_tot_oper_exp(), is_comparable_ebit(),is_non_operating_inc_loss_gaap(), cf_depr_amort(),is_comparable_ebitda(), is_int_expense(), is_int_inc(), is_other_nonop_inc_loss_gaap(), is_comp_ptp_ex_stk_based_comp(), is_inc_tax_exp(), is_comp_net_income_gaap(), is_comp_net_income_gaap(fa_period_offset=1), is_comp_net_income_gaap(fa_period_offset=2), is_comp_net_income_gaap(fa_period_offset=3), is_comp_net_income_gaap(fa_period_offset=4), is_comp_net_income_gaap(fa_period_offset=5), cb_cf_net_cash_investing_act(),cb_cf_net_cash_financing_act(), ebit(), pretax_inc(), is_comp_net_income_adjust(), bs_pfd_eqy(), minority_noncontrolling_interest(),	bs_tot_cap()) for(members('RAY Index'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,cur_mkt_cap(),cash_and_marketable_securities(),preferred_equity_and_minority_int(),RR251,sales_rev_turn(),gross_profit(),ebitda(),earn_for_common(),cf_cash_from_oper(),capital_expend(),cf_free_cash_flow(),is_oper_inc(),bs_cur_asset_report(),bs_tot_asset(),bs_cur_liab(),RR005,RR007,cf_cash_from_inv_act(),cf_cash_from_fnc_act(),is_comp_sales(),is_comp_sales(fa_period_offset=1),is_comp_sales(fa_period_offset=2),is_comp_sales(fa_period_offset=3),is_comp_sales(fa_period_offset=4),is_comp_sales(fa_period_offset=5),headline_fcf(),bs_cash_near_cash_item(),is_cogs_to_fe_and_pp_and_g(),is_tot_oper_exp(),is_comparable_ebit(),is_non_operating_inc_loss_gaap(),cf_depr_amort(),is_comparable_ebitda(),is_int_expense(),is_int_inc(),is_other_nonop_inc_loss_gaap(),is_comp_ptp_ex_stk_based_comp(),is_inc_tax_exp(),is_comp_net_income_gaap(),is_comp_net_income_gaap(fa_period_offset=1),is_comp_net_income_gaap(fa_period_offset=2),is_comp_net_income_gaap(fa_period_offset=3),is_comp_net_income_gaap(fa_period_offset=4),is_comp_net_income_gaap(fa_period_offset=5),cb_cf_net_cash_investing_act(),cb_cf_net_cash_financing_act(),ebit(),pretax_inc(),is_comp_net_income_adjust(),bs_pfd_eqy(),minority_noncontrolling_interest(),bs_tot_cap()
AA UN Equity,9326357805,1363000000,1514000000,1807000000,12451000000,2239000000,1307000000,-102000000,822000000,-480000000,342000000,690000000,5250000000,14783000000,3004000000,8211000000,6572000000,-495000000,-777000000,12451000000,11237600000,12274666667,12653833333,#N/A,#N/A,342000000,1363000000,10212000000,11728000000,1607000000,-33000000,617000000,2224000000,106000000,0,-139000000,723000000,664000000,-102000000,357685714.3,1062285714,946333333.3,#N/A,#N/A,-495000000,-768000000,690000000,723000000,890000000,0,1514000000,8379000000
INO UW Equity,480266821.3,281883137,0,32434597,10976718,#N/A,-309500149,-332302506,-217766552,-1447702,-219214254,-317135703,350208013,391967986,94914741,125270870,266697116,49091054,122722400,10975602,904000,1104166.667,6525000,184710000,321100000,-219214254,21988239,#N/A,328112421,-317135365,13001590,4225554,#N/A,1420777,3792701,13616796,-327336713,0,-332301926,-181340000,-194200000,-186900000,-39070000,71040000,49091054,122767624,-317135703,-330137293,-333713403.3,0,0,299131713
AXP UN Equity,1.32076E+11,34000000000,0,44000000000,55625000000,#N/A,#N/A,7400000000,#N/A,#N/A,#N/A,9585000000,#N/A,2.28E+11,#N/A,2.03E+11,25000000000,#N/A,#N/A,52862000000,59769551724,65569357143,69607714286,74904000000,72794000000,#N/A,34000000000,#N/A,41095000000,#N/A,#N/A,#N/A,#N/A,#N/A,12658000000,0,9585000000,2071000000,7514000000,8067592593,9004961538,10402000000,10719000000,26082000000,#N/A,#N/A,12348000000,9585000000,7514000000,#N/A,0,69000000000
VZ UN Equity,1.73838E+11,2605000000,1319000000,1.76331E+11,1.36835E+11,77702000000,47566000000,21256000000,37141000000,-23087000000,14054000000,30467000000,37857000000,3.7968E+11,50171000000,2.87217E+11,92463000000,-28662000000,-8529000000,1.368E+11,1.37763E+11,1.39268E+11,1.40689E+11,1.42463E+11,1.44147E+11,14054000000,2605000000,59133000000,1.06368E+11,30467000000,2196000000,17099000000,47773000000,3613000000,#N/A,-1373000000,28271000000,6523000000,21748000000,19407533333,19413866667,19910272727,20347375000,20024375000,-28662000000,-8529000000,30467000000,28271000000,21256000000,0,1319000000,2.68794E+11
SPWH UW Equity,376031938.5,2560000,0,409599000,1436534000,474026000,189808000,87923000,71226000,-53466000,17760000,65181000,508583000,925356000,376661000,642050000,283306000,-53466000,-17732000,1436534000,1520900000,1645500000,1678250000,1801250000,1947750000,17760000,2560000,962508000,#N/A,78021000,-52004000,30437000,111256000,2996000,#N/A,-55000000,72771000,29262000,87923000,50272000,65735000,52825000,54850000,60150000,-53466000,-17732000,65181000,117185000,52363000,0,0,692905000
BA UN Equity,1.231E+11,17220000000,35000000,58582000000,66608000000,3502000000,-1222000000,-4935000000,3512000000,-1222000000,2290000000,-3547000000,1.09523E+11,1.371E+11,90052000000,1.52948E+11,-15848000000,4370000000,-1339000000,66608000000,79483400000,90023208333,98420000000,1.06432E+11,1.10638E+11,2290000000,14614000000,63106000000,#N/A,-4690000000,1475000000,1979000000,-1568000000,2533000000,0,-1058000000,-5022000000,31000000,-4935000000,1664133333,4418937500,6599000000,7529571429,9418000000,4370000000,-1266000000,-3547000000,-5022000000,-6582912000,0,35000000,42734000000
SABR UW Equity,2553008447,782763000,339968000,4742450000,2406473000,1441424000,-131566000,-483438000,-321272000,-77367000,-398639000,-332136000,1392658000,5019622000,737648000,5751618000,-731996000,162358000,-75296000,2406473000,3027833333,3565750000,3813250000,4315541667,4561500000,-398639000,782763000,965049000,#N/A,-163421000,136803000,200570000,-196003000,#N/A,#N/A,-131897000,-477338000,-12294000,-475213000,-355416666.7,-128673333.3,274300000,427875000,490875000,162358000,-75191000,-332136000,-468939000,-406091000,329000000,10968000,4010454000
