"get(cur_mkt_cap(), px_last(), revenue_per_sh(), ebitda_per_sh(), oper_inc_per_sh(), is_eps(), is_earn_bef_xo_items_per_sh(), is_basic_eps_cont_ops(), is_diluted_eps(), is_dil_eps_bef_xo(), is_dil_eps_cont_ops(), is_div_per_shr(), cash_flow_per_sh(), free_cash_flow_per_sh(), cash_st_investments_per_sh(), book_val_per_sh(), tang_book_val_per_sh(), is_eps(fa_period_offset=1), is_dil_eps_cont_ops(fa_period_offset=1), is_div_per_shr(fa_period_offset=1), cash_flow_per_sh(fa_period_offset=1), book_val_per_sh(fa_period_offset=1), is_eps(fa_period_offset=2), is_dil_eps_cont_ops(fa_period_offset=2), is_div_per_shr(fa_period_offset=2), cash_flow_per_sh(fa_period_offset=2), book_val_per_sh(fa_period_offset=2), is_eps(fa_period_offset=3), is_dil_eps_cont_ops(fa_period_offset=3), is_div_per_shr(fa_period_offset=3), book_val_per_sh(fa_period_offset=3), is_eps(fa_period_offset=4), is_dil_eps_cont_ops(fa_period_offset=4), is_div_per_shr(fa_period_offset=4), is_eps(fa_period_offset=5), is_dil_eps_cont_ops(fa_period_offset=5), is_div_per_shr(fa_period_offset=5)) for(members('RAY Index'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,cur_mkt_cap(),px_last(),revenue_per_sh(),ebitda_per_sh(),oper_inc_per_sh(),is_eps(),is_earn_bef_xo_items_per_sh(),is_basic_eps_cont_ops(),is_diluted_eps(),is_dil_eps_bef_xo(),is_dil_eps_cont_ops(),is_div_per_shr(),cash_flow_per_sh(),free_cash_flow_per_sh(),cash_st_investments_per_sh(),book_val_per_sh(),tang_book_val_per_sh(),is_eps(fa_period_offset=1),is_dil_eps_cont_ops(fa_period_offset=1),is_div_per_shr(fa_period_offset=1),cash_flow_per_sh(fa_period_offset=1),book_val_per_sh(fa_period_offset=1),is_eps(fa_period_offset=2),is_dil_eps_cont_ops(fa_period_offset=2),is_div_per_shr(fa_period_offset=2),cash_flow_per_sh(fa_period_offset=2),book_val_per_sh(fa_period_offset=2),is_eps(fa_period_offset=3),is_dil_eps_cont_ops(fa_period_offset=3),book_val_per_sh(fa_period_offset=3),is_eps(fa_period_offset=4),is_dil_eps_cont_ops(fa_period_offset=4)
AA UN Equity,9232581324,52.18000031,68.92517792,7.235178503,3.819642821,-0.57,-0.57,4.827143,-0.57,-0.57,4.821786,0,4.5503571,1.893214268,7.701909934,28.58126225,#N/A,2,2.053,0.33625,5.634,29.955,6.365714286,6.008,0.33625,9.486,34.5625,5.02,6.346,38.8,#N/A,#N/A
INO UW Equity,412904724.8,1.654999971,0.047901427,-1.350631291,-1.383952174,-1.47201,-1.47201,-1.427029,-1.47201,-1.47201,-1.427029,0,-0.945825512,-0.956631627,1.129858864,1.068989453,1.017832865,-0.745,-0.646666667,#N/A,1.895,#N/A,-0.517083333,-0.5605,#N/A,3.91,#N/A,-0.5225,-0.499166667,#N/A,-0.2125,-0.188125
AXP UN Equity,1.30E+11,174.6900024,74.06790945,#N/A,12.76298269,9.86,9.86,9.86,9.85,9.85,9.85,2.08,#N/A,#N/A,45.76043069,33.6473755,#N/A,10.89857143,10.86862069,2.372857143,12.885,37.29235294,12.52392857,12.44793103,2.487391304,14.435,42.44625,14.64714286,14.49375,43.77666667,13.3,13.3
VZ UN Equity,1.74E+11,41.41500092,32.56425512,11.31984769,7.250594955,5.06,5.06,5.033079,5.06,5.06,5.033079,2.585,8.838886245,3.344597811,0.620238095,21.70095238,-23.52,4.6665,4.696071429,2.743571429,8.75,23.76375,4.691052632,4.743793103,2.680357143,8.715,26.73285714,4.834285714,4.83,29.9725,4.915,4.840833333
SPWH UW Equity,355863780,9.43999958,34.16373949,4.514025471,1.550138531,2.07,2.07,1.269621,2.04,2.04,1.255486,0,1.670763968,0.422369407,0.067909913,7.515346049,7.46494416,1.241,1.241,#N/A,#N/A,8.63,1.684,1.684,#N/A,#N/A,10.76,1.401666667,1.401666667,13.06,1.4875,1.4875
BA UN Equity,1.27E+11,212.9499969,111.9086022,-2.053091398,-5.959341398,-8.3,-8.3,-6.252991,-8.3,-8.3,-6.26166,0,5.900537634,3.847446237,28.81575413,-26.57843339,-43.92812786,2.465625,1.220416667,1.231666667,9.75,-24.06,7.41375,5.851818182,1.832222222,14.13,-17.2325,10.93230769,9.556666667,-10.11666667,12.72875,10.775
SABR UW Equity,2231214454,6.795000076,7.393567079,-0.404218974,-1.020443527,-1.49,-1.48,-1.998095,-1.5,-1.49,-2.005064,0,-0.986212628,-1.224765118,2.384095734,-3.264927953,-12.25396327,-1.0775,-0.509928571,0.0125,-0.3275,-2.74,-0.285333333,0.271833333,0.015625,#N/A,-2.93,0.73725,1.232142857,-2.42,1.2675,1.687916667
PEP UW Equity,2.35E+11,170.5599976,60.44733514,11.53387534,9.581933153,7.02,7.02,6.661231,6.99,6.99,6.633211,4.45,8.15185635,4.612827462,4.889050036,13.76142132,-12.01087745,7.053560606,7.151988304,4.735604396,8.575,15.25,7.680714286,7.757916667,4.998547009,9.321666667,18.31,8.351785714,8.394888889,15.70142857,9.039166667,9.083333333
CAT UN Equity,1.31E+11,252.3099976,112.7861074,19.21237426,15.00094895,12.72,12.72,13.928639,12.64,12.64,13.835324,4.71,14.73903967,9.806414879,13.45864503,30.49332352,18.87553828,15.05176471,15.24448276,4.98173913,17.24714286,32.78222222,16.38642857,16.43347826,5.303,18.7525,37.86,18.46666667,18.34571429,47.695,21.7,21.7
JPM UN Equity,4.09E+11,139.5299988,52.19232585,#N/A,15.56612044,12.1,12.1,12.395502,12.09,12.09,12.383125,4,#N/A,#N/A,364.0374195,90.28661009,72.26323144,12.878125,13.02896552,4.144230769,14.595,97.57608696,13.4675,13.61214286,4.416923077,14.775,104.4681818,13.9625,14.60777778,109.62,13.1,13.93
